np_id,id,site,site_url,product_name,image_url,category,sub_category,description,free_delivery,cash_on_delivery,days_to_deliver,discount_percentage,return_policy,brand_name,reviews,rating,trust score
11,32,flipkart,https://www.flipkart.com/asus-amd-ryzen-7-octa-core-4th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-nvidia-2050-fa506nfr-hn045w-gaming-laptop/p/itm153a6c1ff9027?affExtParam1=68d1fb4b2866a00348afdc99&affExtParam2=198&affid=rohanpouri&cmpid=content_computer_8965229628_gmc&pid=COMHDDZ6BWH8YUH9,ASUS AMD Ryzen 7 Octa Core 4th Gen 16 GB/512 GB SSD/Windows 11,https://www.flipkart.com/asus-amd-ryzen-7-octa-core-4th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-nvidia-2050-fa506nfr-hn045w-gaming-laptop/p/itm153a6c1ff9027?affExtParam1=68d1fb4b2866a00348afdc99&affExtParam2=198&affid=rohanpouri&cmpid=content_computer_8965229628_gmc&pid=COMHDDZ6BWH8YUH9,electronics,laptops,"AMD Ryzen 7 7435HS Gaming Laptop(NVIDIA RTX 3050-4GB/60W TGP/16GB RAM/512GB SSD/FHD/15.6""/144Hz/RGB KB/48WHr/Windows 11//Graphite Black/2.30 Kg) FA506NCR-HN054W",available,available,5,10,7 days replacement,asus,0,0,37
11,33,reliancedigital,https://www.reliancedigital.in/product/asus-tuf-a15-fa506ncr-hn075ws-gaming-laptop-amd-ryzen-7-7435hs16-gb512-gb-ssdnvidiawin11-homemsofficefull-hd-3962-cm-156-inch-graphite-black-lyzvi0-8052471,ASUS AMD Ryzen 7 Octa Core 4th Gen 16 GB/512 GB SSD/Windows 11,https://www.reliancedigital.in/product/asus-tuf-a15-fa506ncr-hn075ws-gaming-laptop-amd-ryzen-7-7435hs16-gb512-gb-ssdnvidiawin11-homemsofficefull-hd-3962-cm-156-inch-graphite-black-lyzvi0-8052471,electronics,laptops,"AMD Ryzen 7 7435HS Gaming Laptop(NVIDIA RTX 3050-4GB/60W TGP/16GB RAM/512GB SSD/FHD/15.6""/144Hz/RGB KB/48WHr/Windows 11//Graphite Black/2.30 Kg) FA506NCR-HN054W",available,not-available,8,29,5 days return,asus,3,3,38.61
12,34,amazon,https://www.amazon.in/HP-i5-1334U-15-6-inch-Anti-Glare-15-FD0467TU/dp/B0DVLQVCG7?tag=bhtk09-21&ascsubtag=btk&th=1,HP Professional 15 (2025) Intel Core i5 13th Gen 1334U,https://m.media-amazon.com/images/I/610AQ5AXDML._SX425_.jpg,electronics,laptops,"(16 GB/512 GB SSD/Windows 11 Home) 15 G10 Thin and Light Laptop  (15.6 inch, Turbo Silver, 1.5 kg),Stylish & Portable Thin and Light Laptop, 15.6 inch 15.6"" FHD 1920x1080, 60Hz, Anti-Glare, 250 nit, NTSC 45%,Light Laptop without Optical Disk Drive",available,available,8,25,10 days replacement,hp,233,3.8,64.63
12,35,flipkart,https://www.flipkart.com/hp-professional-15-2025-intel-core-i5-13th-gen-1334u-16-gb-512-gb-ssd-windows-11-home-g10-thin-light-laptop/p/itm4dec1bd739863?affExtParam1=68d22ef5c86ff70341fa07bc&affExtParam2=198&affid=rohanpouri&cmpid=content_computer_8965229628_gmc&pid=COMHFGH4YZXEPAYB,HP Professional 15 (2025) Intel Core i5 13th Gen 1334U,https://m.media-amazon.com/images/I/610AQ5AXDML._SX425_.jpg,electronics,laptops,"(16 GB/512 GB SSD/Windows 11 Home) 15 G10 Thin and Light Laptop  (15.6 inch, Turbo Silver, 1.5 kg),Stylish & Portable Thin and Light Laptop, 15.6 inch 15.6"" FHD 1920x1080, 60Hz, Anti-Glare, 250 nit, NTSC 45%,Light Laptop without Optical Disk Drive",available,not-available,8,49,7 days replacement,hp,0,0,28.35
12,36,reliancedigital,https://www.reliancedigital.in/product/hp-15-15-fd0492tu-standard-laptop-intel-core-i5-1334u16-gb512-gb-ssdintel-iris-xe-graphicswindows-11-homemsofficefull-hd-3962-cm-156-inch-natural-silver-m6ymds-8882599,HP Professional 15 (2025) Intel Core i5 13th Gen 1334U,https://m.media-amazon.com/images/I/610AQ5AXDML._SX425_.jpg,electronics,laptops,"(16 GB/512 GB SSD/Windows 11 Home) 15 G10 Thin and Light Laptop  (15.6 inch, Turbo Silver, 1.5 kg),Stylish & Portable Thin and Light Laptop, 15.6 inch 15.6"" FHD 1920x1080, 60Hz, Anti-Glare, 250 nit, NTSC 45%,Light Laptop without Optical Disk Drive",available,available,5,18,5 days return,hp,5,3,52.12
13,37,amazon,https://www.amazon.in/Dell-Inspiron-R5-7530U-Processor-Standard/dp/B0DSFRQTGB?tag=bhtk09-21&ascsubtag=btk&th=1,DELL 15 AMD Ryzen 5 Hexa Core 7530U-(16GB/512GBSSD),https://m.media-amazon.com/images/I/61zegicE0CL._SX425_.jpg,electronics,laptops,"Stylish & Portable Thin and Light Laptop, 15.6 Inch Full HD, Light Laptop without Optical Disk Drive, 16 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop,  (Platinum Silver, 1.67 Kg, With MS Office)",available,available,5,35,10 days replacement,dell,72,4,69.74
13,38,flipkart,https://www.flipkart.com/dell-15-amd-ryzen-5-hexa-core-7530u-16-gb-512-gb-ssd-windows-11-home-3535-thin-light-laptop/p/itm672bf7685863c?affExtParam1=68d2339235626103575c1083&affExtParam2=198&affid=rohanpouri&cmpid=content_computer_8965229628_gmc&pid=COMH8EPFGAZ5HFM3,DELL 15 AMD Ryzen 5 Hexa Core 7530U-(16GB/512GBSSD),https://m.media-amazon.com/images/I/61zegicE0CL._SX425_.jpg,electronics,laptops,"Stylish & Portable Thin and Light Laptop, 15.6 Inch Full HD, Light Laptop without Optical Disk Drive, 16 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop,  (Platinum Silver, 1.67 Kg, With MS Office)",not available,not-available,6,31,7 days replacement,dell,42,4.8,48.78
13,39,croma,https://www.croma.com/dell-dc15255-amd-ryzen-5-thin-light-laptop-16gb-512gb-ssd-windows-11-15-6-inch-full-hd-display-ms-office-home-2024-carbon-platinum-silver-1-66-kg-/p/317372?utm_source=admitad&utm_medium=affiliate&utm_campaign=homepage&utm_term=telegram&utm_content=370202_price-tracker~product_deal_card~~_71b566fb89063f53c708f3b8bd44da47&admitad_uid=71b566fb89063f53c708f3b8bd44da47,DELL 15 AMD Ryzen 5 Hexa Core 7530U-(16GB/512GBSSD),https://m.media-amazon.com/images/I/61zegicE0CL._SX425_.jpg,electronics,laptops,"Stylish & Portable Thin and Light Laptop, 15.6 Inch Full HD, Light Laptop without Optical Disk Drive, 16 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop,  (Platinum Silver, 1.67 Kg, With MS Office)",not available,not-available,1,16,5 days return,dell,0,0,19.9
14,40,amazon,https://www.amazon.in/Acer-Processor-LED-Backlit-Win11Home-A324-51/dp/B0D9QLPY8B?tag=bhtk09-21&ascsubtag=btk&th=1,"Acer Aspire 3, 13th Gen, Intel Core i5-1334U Processor Laptop",https://m.media-amazon.com/images/I/71sZZwsXCmL._SX425_.jpg,electronics,laptops,"Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light Laptop  (14 Inch, Steel Gray, 1.45 Kg),Stylish & Portable Thin and Light Laptop, 14 Inch Full HD display with IPS (In-Plane Switching),technology, LED-backlit TFT LCD",available,available,6,35,10 days replacement,acer,67,4.2,69.12
14,41,flipkart,https://www.flipkart.com/acer-aspire-3-backlit-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-a324-51-thin-light-laptop/p/itm4fa0fcf0e2e15?affExtParam1=68d236f82866a00348e79d4a&affExtParam2=198&affid=rohanpouri&cmpid=content_computer_8965229628_gmc&pid=COMHY24RMZ8PUDTT,"Acer Aspire 3, 13th Gen, Intel Core i5-1334U Processor Laptop",https://m.media-amazon.com/images/I/71sZZwsXCmL._SX425_.jpg,electronics,laptops,"Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light Laptop  (14 Inch, Steel Gray, 1.45 Kg),Stylish & Portable Thin and Light Laptop, 14 Inch Full HD display with IPS (In-Plane Switching),technology, LED-backlit TFT LCD",available,not-available,8,15,7 days replacement,acer,214,4.1,52.5
14,42,shopsy,https://www.shopsy.in/acer-aspire-3-backlit-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-a324-51-thin-and-light-laptop/p/itm154b8e0640a9c?pid=COMHY24RMZ8PUDTT,"Acer Aspire 3, 13th Gen, Intel Core i5-1334U Processor Laptop",https://m.media-amazon.com/images/I/71sZZwsXCmL._SX425_.jpg,electronics,laptops,"Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light Laptop  (14 Inch, Steel Gray, 1.45 Kg),Stylish & Portable Thin and Light Laptop, 14 Inch Full HD display with IPS (In-Plane Switching),technology, LED-backlit TFT LCD",available,available,7,15,5 days replacement,acer,214,4.1,58
15,43,amazon,https://www.amazon.in/2022-Apple-MacBook-Laptop-chip/dp/B0DLHFM2XL?tag=bhtk09-21&ascsubtag=btk,Apple MC7X4HN/A MacBook Air 13 16 GB/256 GB SSD,https://m.media-amazon.com/images/I/71RDgtHsREL._SX425_.jpg,electronics,laptops,"13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Midnight",available,available,8,18,10 days replacement,apple,91,4.7,66.56
15,44,flipkart,https://www.flipkart.com/apple-macbook-air-m2-16-gb-256-gb-ssd-macos-sequoia-mc7x4hn-a/p/itmdc5308fa78421?affExtParam1=68d23968353cef0342e91fdf&affExtParam2=198&affid=rohanpouri&cmpid=content_computer_8965229628_gmc&pid=COMH64PY76CJKBYU,Apple MC7X4HN/A MacBook Air 13 16 GB/256 GB SSD,https://m.media-amazon.com/images/I/71RDgtHsREL._SX425_.jpg,electronics,laptops,"13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Midnight",not available,available,6,25,7 days replacement,apple,178,4.7,59.7
15,45,reliancedigital,https://www.reliancedigital.in/product/apple-mc7x4hna-macbook-air-13-8-core-apple-m2-chip16-gb256-gb-ssdmac-os-sequoialiquid-retina-3446-cm-136-inch-midnight-m2x3bq-8698543,Apple MC7X4HN/A MacBook Air 13 16 GB/256 GB SSD,https://m.media-amazon.com/images/I/71RDgtHsREL._SX425_.jpg,electronics,laptops,"13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Midnight",available,not-available,4,8,5 days return,apple,11,4.4,50.25
16,46,amazon,https://www.amazon.in/Rockerz-450-Wireless-Bluetooth-Headphone/dp/B07PR1CL3S?tag=bhtk09-21&ascsubtag=btk&th=1,boAt Rockerz 450 Bluetooth On Ear Headphones with Mic,https://m.media-amazon.com/images/I/51FNnHjzhQL._SY355_.jpg,audio,headphones,"15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, On Ear Bluetooth Headphones, Wireless Headphone with Mic (Luscious Black)",available,available,8,67,10 days replacement,boat,120157,4,82.1
16,47,flipkart,https://www.flipkart.com/boat-rockerz-450-w-40mm-drivers-15-hrs-playback-soft-padded-earcups-bluetooth/p/itm077a566bd128b?affExtParam1=68d23da425656e03455cdc2f&affExtParam2=198&affid=rohanpouri&cmpid=content_headphone_8965229628_gmc&pid=ACCFEHZ8GSGWMMSD,boAt Rockerz 450 Bluetooth On Ear Headphones with Mic,https://m.media-amazon.com/images/I/51FNnHjzhQL._SY355_.jpg,audio,headphones,"15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, On Ear Bluetooth Headphones, Wireless Headphone with Mic (Luscious Black)",available,available,6,67,7 days replacement, boat,40971,4.3,82.85
